Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
Coal Miner's Daughter,1980,Nominee,53,0080549,7.5,16690.0,124.0,"[' Biography', ' Drama', ' Music']",['USA'],,67182787.0
The Elephant Man,1980,Nominee,53,0080678,8.1,219573.0,124.0,"[' Biography', ' Drama']","['USA', 'UK']",5000000.0,26022558.0
Raging Bull,1980,Nominee,53,0081398,8.2,321174.0,129.0,"[' Biography', ' Drama', ' Sport']",['USA'],18000000.0,23402427.0
Tess,1980,Nominee,53,0080009,7.3,15216.0,186.0,"[' Drama', ' Romance']","['UK', 'France']",12000000.0,20101247.0
Chariots of Fire,1981,Winner,54,0082158,7.2,54734.0,125.0,"[' Biography', ' Drama', ' Sport']",['UK'],5500000.0,59303359.0
Atlantic City,1981,Nominee,54,0080388,7.3,15103.0,104.0,"[' Crime', ' Drama', ' Romance']","['France', 'Canada']",7200000.0,12729675.0
On Golden Pond,1981,Nominee,54,0082846,7.6,27575.0,109.0,[' Drama'],['USA'],,119285432.0
Raiders of the Lost Ark,1981,Nominee,54,0082971,8.4,882599.0,115.0,"[' Action', ' Adventure']","['USA', 'UK']",18000000.0,389925971.0
Reds,1981,Nominee,54,0082979,7.3,20902.0,195.0,"[' Biography', ' Drama', ' History', ' Romance']","['USA', 'UK', 'Canada']",32000000.0,40382659.0
Gandhi,1982,Winner,55,0083987,8.0,217441.0,191.0,"[' Biography', ' Drama', ' History']","['UK', 'India']",22000000.0,52767889.0
E.T. the Extra-Terrestrial,1982,Nominee,55,0083866,7.8,371833.0,115.0,"[' Family', ' Sci-Fi']",['USA'],10500000.0,792910554.0
Missing,1982,Nominee,55,0084335,7.7,18527.0,122.0,"[' Biography', ' Drama', ' History', ' Mystery', ' Thriller']","['USA', 'Mexico']",9500000.0,14000000.0
Tootsie,1982,Nominee,55,0084805,7.4,97767.0,116.0,"[' Comedy', ' Drama', ' Romance']",['USA'],21000000.0,177200000.0
The Verdict,1982,Nominee,55,0084855,7.7,35999.0,129.0,[' Drama'],['USA'],16000000.0,53993738.0
Terms of Endearment,1983,Winner,56,0086425,7.4,55069.0,132.0,"[' Comedy', ' Drama']",['USA'],8000000.0,108423489.0
The Big Chill,1983,Nominee,56,0085244,7.2,32866.0,105.0,"[' Comedy', ' Drama']",['USA'],8000000.0,56399659.0
